MUNICIPIO,"Ks,0","Ks,2","Ks,4","Ks,6","Ks,8","Ks,10","Ks,12","Ks,14","Ks,16","Ks,18","Ks,20","Ks,22","Ks,24","Ks,26"
Acatl‡n,22,21,20,19,19,19,18,18,18,18,17,17,17,17
Acaxochitl‡n,24,27,26,25,24,22,22,22,22,22,22,22,22,22
Actopan,11,17,22,21,21,20,20,20,20,20,20,21,21,21
Agua Blanca De Iturbide,71,46,50,49,49,49,50,50,50,50,50,50,50,50
Ajacuba,30,47,44,44,43,43,43,43,43,43,43,43,43,43
Alfajayucan,31,16,18,20,20,21,21,21,21,21,21,20,20,20
Almoloya,32,36,38,39,39,40,40,40,40,40,40,40,40,40
Apan,16,15,15,16,17,16,16,16,16,16,16,16,16,16
Atitalaquia,5,5,5,4,3,2,2,2,2,2,2,2,2,2
Atlapexco,55,62,60,63,66,66,66,66,66,66,66,66,66,66
Atotonilco De Tula,8,7,8,8,9,8,9,9,9,9,9,8,8,8
Atotonilco El Grande,28,44,45,46,46,46,46,46,46,47,47,47,47,47
Calnali,46,68,67,67,67,67,67,67,67,67,67,67,67,67
Cardonal,56,35,35,34,34,34,34,35,35,34,34,34,33,33
Chapantongo,72,20,23,23,25,25,24,24,25,25,25,24,23,23
Chapulhuac‡n,57,64,70,70,70,71,71,71,71,71,71,71,71,71
Chilcuautla,33,57,55,54,53,52,51,51,51,51,51,51,51,51
Cuautepec De Hinojosa,15,29,29,28,27,26,26,25,24,24,24,23,24,24
El Arenal,66,54,54,53,51,50,49,49,49,49,49,49,49,49
Eloxochitl‡n,47,71,71,71,71,70,70,70,70,70,70,70,70,70
Emiliano Zapata,39,22,16,15,16,17,17,17,17,17,18,18,18,18
Epazoyucan,67,33,30,30,30,30,30,30,30,31,31,31,31,31
Francisco I. Madero,34,49,46,45,45,45,44,44,44,44,44,44,44,44
Huasca De Ocampo,58,59,61,61,61,60,60,60,60,61,61,61,61,61
Huautla,48,61,59,59,60,63,63,63,63,65,65,65,65,65
Huazalingo,73,81,78,78,77,77,77,77,77,77,77,77,77,77
Huehuetla,74,66,63,64,64,64,64,64,64,63,63,63,63,63
Huejutla De Reyes,10,12,14,14,14,15,15,15,15,15,15,15,15,15
Huichapan,13,25,25,24,23,23,23,23,23,23,23,25,25,25
Ixmiquilpan,17,39,41,41,41,41,41,41,41,41,41,41,41,41
Jacala De Ledezma,36,56,58,58,58,58,59,59,59,59,59,59,59,59
Jaltoc‡n,75,40,47,51,52,55,55,55,55,55,55,55,55,55
Ju‡rez Hidalgo,76,63,65,60,59,59,58,58,58,58,58,58,58,58
La Misi—n,77,79,80,80,79,79,79,79,79,79,79,79,79,79
Lolotla,68,76,76,75,75,75,75,75,75,75,75,75,75,75
Metepec,20,18,17,18,18,18,19,19,19,19,19,19,19,19
Metztitl‡n,40,60,62,62,62,61,62,62,62,62,62,62,62,62
Mineral De La Reforma,4,4,4,5,4,4,4,4,4,4,4,4,5,5
Mineral Del Chico,80,83,83,83,83,83,83,83,83,83,83,83,83,83
Mineral Del Monte,82,43,39,37,37,38,38,39,39,39,39,39,39,39
Mixquiahuala De Ju‡rez,14,26,27,27,26,27,27,27,27,26,26,26,26,26
Molango De Escamilla,49,69,68,68,68,68,68,68,68,68,68,68,68,68
Nicol‡s Flores,69,55,57,57,56,56,56,56,56,56,56,56,56,56
Nopala De Villagr‡n,59,11,9,9,10,12,12,12,12,12,12,12,12,12
Pachuca De Soto,1,2,3,3,5,5,5,5,5,5,6,6,6,6
Pacula,83,72,66,66,63,62,61,61,61,60,60,60,60,60
Pisaflores,60,74,72,74,74,74,74,74,74,74,74,74,74,74
Progreso De Obreg—n,23,30,31,32,33,33,33,33,34,35,35,35,35,35
San Agust’n Metzquititl‡n,35,42,48,50,50,51,52,52,53,53,53,53,53,53
San Agust’n Tlaxiaca,37,28,28,29,29,29,29,29,29,29,29,29,29,29
San Bartolo Tutotepec,81,80,82,82,82,82,82,82,81,81,81,81,81,81
San Felipe Orizatl‡n,50,52,52,52,54,54,54,54,54,54,54,54,54,54
San Salvador,25,34,36,35,35,35,35,34,33,33,32,32,32,32
Santiago De Anaya,61,53,51,48,48,48,48,48,48,48,48,48,48,48
