"","MUNICIPIO","iteracion","ranking"
"1","Acatl‡n","Ks,0",22
"2","Acatl‡n","Ks,2",21
"3","Acatl‡n","Ks,4",20
"4","Acatl‡n","Ks,6",19
"5","Acatl‡n","Ks,8",19
"6","Acatl‡n","Ks,10",19
"7","Acatl‡n","Ks,12",18
"8","Acatl‡n","Ks,14",18
"9","Acatl‡n","Ks,16",18
"10","Acatl‡n","Ks,18",18
"11","Acatl‡n","Ks,20",17
"12","Acatl‡n","Ks,22",17
"13","Acatl‡n","Ks,24",17
"14","Acatl‡n","Ks,26",17
"15","Acaxochitl‡n","Ks,0",24
"16","Acaxochitl‡n","Ks,2",27
"17","Acaxochitl‡n","Ks,4",26
"18","Acaxochitl‡n","Ks,6",25
"19","Acaxochitl‡n","Ks,8",24
"20","Acaxochitl‡n","Ks,10",22
"21","Acaxochitl‡n","Ks,12",22
"22","Acaxochitl‡n","Ks,14",22
"23","Acaxochitl‡n","Ks,16",22
"24","Acaxochitl‡n","Ks,18",22
"25","Acaxochitl‡n","Ks,20",22
"26","Acaxochitl‡n","Ks,22",22
"27","Acaxochitl‡n","Ks,24",22
"28","Acaxochitl‡n","Ks,26",22
"29","Actopan","Ks,0",11
"30","Actopan","Ks,2",17
"31","Actopan","Ks,4",22
"32","Actopan","Ks,6",21
"33","Actopan","Ks,8",21
"34","Actopan","Ks,10",20
"35","Actopan","Ks,12",20
"36","Actopan","Ks,14",20
"37","Actopan","Ks,16",20
"38","Actopan","Ks,18",20
"39","Actopan","Ks,20",20
"40","Actopan","Ks,22",21
"41","Actopan","Ks,24",21
"42","Actopan","Ks,26",21
"43","Agua Blanca De Iturbide","Ks,0",71
"44","Agua Blanca De Iturbide","Ks,2",46
"45","Agua Blanca De Iturbide","Ks,4",50
"46","Agua Blanca De Iturbide","Ks,6",49
"47","Agua Blanca De Iturbide","Ks,8",49
"48","Agua Blanca De Iturbide","Ks,10",49
"49","Agua Blanca De Iturbide","Ks,12",50
"50","Agua Blanca De Iturbide","Ks,14",50
"51","Agua Blanca De Iturbide","Ks,16",50
"52","Agua Blanca De Iturbide","Ks,18",50
"53","Agua Blanca De Iturbide","Ks,20",50
"54","Agua Blanca De Iturbide","Ks,22",50
